acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9227,0.9233,0.9337,0.9125,0.9286,0.9286,0.9206,0.9259,0.9257,0.9468,0.8822,0.7917,0.7752,0.7807,0.7906,0.822,0.7706,0.8762,0.7683,0.7053,0.7963,0.0499,0.9268,0.0085,0.3521,0.0801,0.6946,0.0895,0.5484,0.0661,0.6946,0.0895,3,uniform,minkowski_p_4,inverse_distance
0.92,0.918,0.931,0.9125,0.9312,0.9233,0.9101,0.9312,0.9257,0.9441,2.0622,0.7751,0.6985,0.7136,0.6552,0.7003,0.7108,0.8307,0.6964,0.8118,0.8655,0.4024,0.9247,0.0097,0.3374,0.0783,0.6936,0.0623,0.5475,0.0654,0.6936,0.0623,5,uniform,minkowski_p_1,inverse_distance
0.9147,0.9206,0.9284,0.9072,0.9286,0.918,0.9206,0.9286,0.9151,0.9468,0.7689,0.7255,0.7071,0.7133,0.8319,0.7233,0.7269,0.8156,0.7681,0.8702,0.7651,0.0538,0.9229,0.0104,0.2996,0.0795,0.6874,0.0808,0.5096,0.0573,0.6874,0.0808,5,uniform,minkowski_p_3,inverse_distance
0.912,0.918,0.9284,0.9045,0.9339,0.918,0.9206,0.9286,0.9151,0.9441,0.9376,0.7495,0.8777,0.8429,0.7929,0.8447,0.7284,0.7504,0.7313,0.815,0.807,0.0659,0.9223,0.011,0.3006,0.0704,0.6732,0.0748,0.5115,0.0547,0.6732,0.0748,5,uniform,minkowski_p_4,inverse_distance
0.912,0.9233,0.9204,0.9019,0.9339,0.9259,0.9206,0.9312,0.9178,0.9441,1.9778,0.815,0.7372,0.7391,0.7993,0.6684,0.7307,0.8337,0.7286,0.7833,0.8813,0.3685,0.9231,0.0112,0.2807,0.0745,0.6963,0.1092,0.5359,0.1236,0.6963,0.1092,7,uniform,minkowski_p_1,inverse_distance
0.9093,0.9206,0.9284,0.9045,0.9339,0.9127,0.918,0.9339,0.9125,0.9495,0.6698,0.8507,0.8307,0.706,0.8786,0.7275,0.6874,0.8368,0.836,0.7529,0.7776,0.073,0.9223,0.0132,0.2786,0.0924,0.6814,0.1225,0.5039,0.0635,0.6814,0.1225,7,uniform,minkowski_p_3,inverse_distance
0.9067,0.9206,0.9284,0.9098,0.9339,0.9127,0.9233,0.9339,0.9151,0.9495,0.8508,0.9111,0.7309,0.7416,0.7711,0.835,0.7583,0.7688,0.7665,0.7772,0.7911,0.0536,0.9234,0.0126,0.2853,0.089,0.697,0.1227,0.504,0.0624,0.697,0.1227,7,uniform,minkowski_p_4,inverse_distance
0.912,0.9339,0.9178,0.9125,0.9259,0.9259,0.9206,0.9286,0.9019,0.9388,1.9743,0.7974,0.7406,0.7407,0.7096,0.7813,0.7186,0.8313,0.7639,0.8704,0.8928,0.3636,0.9218,0.0106,0.2237,0.0775,0.7251,0.1304,0.5098,0.1061,0.7251,0.1304,15,uniform,minkowski_p_1,inverse_distance
0.912,0.9233,0.9045,0.9019,0.9286,0.9021,0.9233,0.9286,0.8992,0.9388,0.8409,0.6896,0.8164,0.7562,0.7624,0.7501,0.7431,0.8668,0.8589,0.7184,0.7803,0.0582,0.9162,0.0133,0.1934,0.067,0.6659,0.1111,0.4665,0.1084,0.6659,0.1111,15,uniform,minkowski_p_3,inverse_distance
0.9093,0.9259,0.8992,0.9072,0.9286,0.9021,0.9259,0.9286,0.9045,0.9388,0.8225,0.8278,0.8059,0.8462,0.7699,0.7638,0.806,0.8331,0.8499,0.8346,0.816,0.0282,0.917,0.0132,0.1977,0.0663,0.6695,0.1108,0.4733,0.1082,0.6695,0.1108,15,uniform,minkowski_p_4,inverse_distance
0.9093,0.9259,0.9125,0.9098,0.9286,0.9233,0.9233,0.9286,0.8992,0.9335,1.9803,0.7337,0.716,0.7584,0.7459,0.6842,0.7211,0.7028,0.7227,0.825,0.859,0.3755,0.9194,0.0104,0.1634,0.054,0.6711,0.1089,0.4346,0.0589,0.6711,0.1089,25,uniform,minkowski_p_1,inverse_distance
0.904,0.9127,0.9045,0.8992,0.9286,0.9074,0.9233,0.9259,0.8966,0.9388,0.7769,0.7784,0.7465,0.856,0.8255,0.7613,0.6949,0.8718,0.9108,0.7932,0.8015,0.0614,0.9141,0.0135,0.1564,0.0706,0.6931,0.1416,0.4899,0.109,0.6931,0.1416,25,uniform,minkowski_p_3,inverse_distance
0.9067,0.9127,0.9045,0.8992,0.9286,0.9021,0.9233,0.9259,0.8966,0.9388,0.8908,0.8832,0.8329,0.7692,0.764,0.8808,0.8461,0.7934,0.8085,0.7588,0.8228,0.0488,0.9138,0.0137,0.1517,0.0718,0.6933,0.1416,0.4869,0.1114,0.6933,0.1416,25,uniform,minkowski_p_4,inverse_distance
0.9173,0.9206,0.9072,0.9072,0.9206,0.9206,0.9206,0.9233,0.8966,0.9255,2.0365,0.7279,0.7328,0.7939,0.7933,0.7476,0.8537,0.7577,0.8168,0.8311,0.9091,0.3779,0.916,0.0088,0.0792,0.0478,0.6075,0.1427,0.4684,0.1853,0.6075,0.1427,50,uniform,minkowski_p_1,inverse_distance
0.9093,0.9127,0.8966,0.9019,0.9206,0.9021,0.918,0.9233,0.8886,0.9282,0.7939,0.7639,0.7088,0.8095,0.8841,0.7675,0.8339,0.7891,0.864,0.7146,0.7929,0.0548,0.9101,0.0121,0.0727,0.0412,0.6421,0.1724,0.4883,0.1822,0.6421,0.1724,50,uniform,minkowski_p_3,inverse_distance
0.912,0.9127,0.8939,0.9019,0.9206,0.9021,0.9153,0.9233,0.8859,0.9255,0.8137,0.7932,0.8305,0.7392,0.8714,0.7854,0.8654,0.7866,0.7732,0.8191,0.8078,0.0389,0.9093,0.0124,0.0698,0.047,0.5605,0.1617,0.4942,0.1774,0.5605,0.1617,50,uniform,minkowski_p_4,inverse_distance
0.9253,0.9153,0.9231,0.939,0.9233,0.8942,0.9074,0.918,0.9257,0.9441,1.9419,0.7152,0.7487,0.7936,0.6948,0.7613,0.6623,0.6857,0.7569,0.8075,0.8568,0.3644,0.9215,0.0136,0.3813,0.0821,0.6774,0.0675,0.599,0.071,0.6774,0.0675,1,uniform,minkowski_p_1,shepards
0.912,0.8968,0.8992,0.9098,0.9074,0.8942,0.8995,0.9101,0.9231,0.9388,0.7042,0.6842,0.7142,0.7194,0.8936,0.7757,0.7383,0.8445,0.8387,0.8237,0.7737,0.0683,0.9091,0.0129,0.3225,0.0936,0.6263,0.0608,0.567,0.0826,0.6263,0.0608,1,uniform,minkowski_p_3,shepards
