acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.9927,0.9945,0.9954,0.9909,0.9936,0.9927,0.9946,0.9918,0.9954,0.9936,9.3713,9.4094,9.3307,9.3394,9.3559,9.4501,9.3582,9.5052,9.4523,9.6118,9.4184,0.0842,0.9935,0.0014,0.9928,0.0016,0.9937,0.0014,0.9936,0.0014,0.9937,0.0014,1,info_gain,minkowski_p_4,inverse_distance
0.9918,0.9918,0.9954,0.9891,0.9909,0.9918,0.9964,0.9891,0.9954,0.9927,3.2777,3.2745,3.2392,3.2256,3.2137,3.2347,3.2842,3.2175,3.2182,3.3422,3.2527,0.0391,0.9924,0.0024,0.9916,0.0027,0.9926,0.0024,0.9925,0.0025,0.9926,0.0024,6,info_gain,minkowski_p_1,inverse_distance
0.9945,0.9891,0.9936,0.9918,0.9918,0.9909,0.9955,0.99,0.9936,0.9873,9.72,9.3297,9.3936,9.375,9.3534,9.5444,10.3805,9.4352,9.3771,9.9899,9.5899,0.3289,0.9918,0.0024,0.9909,0.0027,0.992,0.0024,0.9919,0.0024,0.992,0.0024,6,info_gain,minkowski_p_3,inverse_distance
0.9945,0.99,0.9936,0.9918,0.9918,0.9909,0.9936,0.9882,0.9927,0.9864,9.3671,9.3877,9.3436,9.347,9.3524,9.4641,9.3494,9.3245,9.3532,9.6135,9.3902,0.0829,0.9914,0.0024,0.9904,0.0027,0.9915,0.0024,0.9914,0.0024,0.9915,0.0024,6,info_gain,minkowski_p_4,inverse_distance
0.9909,0.9882,0.9918,0.9909,0.9872,0.99,0.9955,0.9855,0.9927,0.9882,3.2254,3.2329,3.2388,3.3187,3.2385,3.2069,3.222,3.1486,3.2238,3.3303,3.2386,0.0496,0.9901,0.0028,0.989,0.0031,0.9903,0.0026,0.9902,0.0027,0.9903,0.0026,11,info_gain,minkowski_p_1,inverse_distance
0.9909,0.9891,0.9936,0.9882,0.9909,0.9891,0.9927,0.99,0.9909,0.9855,9.7422,9.3527,9.3488,9.4069,9.369,9.4263,10.177,9.4284,9.4075,10.0585,9.5717,0.2944,0.9901,0.0022,0.989,0.0024,0.9903,0.0021,0.9902,0.0022,0.9903,0.0021,11,info_gain,minkowski_p_3,inverse_distance
0.99,0.9909,0.9909,0.9882,0.9891,0.9918,0.9927,0.99,0.9872,0.9846,9.3732,9.4381,9.3832,9.3647,9.3639,9.5686,9.5783,9.5275,9.4138,9.6843,9.4696,0.1068,0.9895,0.0023,0.9884,0.0025,0.9897,0.0022,0.9896,0.0022,0.9897,0.0022,11,info_gain,minkowski_p_4,inverse_distance
0.99,0.9864,0.9909,0.99,0.9854,0.9891,0.9946,0.9855,0.9909,0.9855,3.2554,3.2806,3.2843,3.3273,3.2425,3.209,3.2288,3.2538,3.2201,3.3582,3.266,0.0451,0.9888,0.0029,0.9876,0.0032,0.9891,0.0028,0.9889,0.0029,0.9891,0.0028,16,info_gain,minkowski_p_1,inverse_distance
0.9891,0.99,0.9854,0.9855,0.9891,0.9891,0.9936,0.9836,0.9891,0.9846,9.8133,9.4386,9.4247,9.4527,9.3981,9.446,10.181,9.4302,9.4745,10.3619,9.6421,0.3366,0.9879,0.0029,0.9866,0.0032,0.9882,0.0028,0.988,0.0028,0.9882,0.0028,16,info_gain,minkowski_p_3,inverse_distance
0.9891,0.9891,0.9881,0.9836,0.9854,0.9882,0.9927,0.9836,0.9872,0.9828,9.3899,9.4476,9.3749,9.3805,9.3873,9.5574,9.4007,9.3949,9.3739,9.6333,9.434,0.0848,0.987,0.003,0.9855,0.0033,0.9873,0.0028,0.9871,0.0029,0.9873,0.0028,16,info_gain,minkowski_p_4,inverse_distance
0.9854,0.9864,0.9872,0.9845,0.9827,0.9854,0.9927,0.9845,0.9891,0.9819,3.249,3.3175,3.246,3.2621,3.2395,3.2193,3.239,3.2696,3.2289,3.5095,3.278,0.0814,0.986,0.003,0.9844,0.0033,0.9863,0.0029,0.9861,0.003,0.9863,0.0029,21,info_gain,minkowski_p_1,inverse_distance
0.9872,0.9891,0.9827,0.9836,0.9854,0.9872,0.9918,0.9827,0.9863,0.9837,9.8206,9.4643,9.4212,9.4498,9.3885,9.4546,10.2101,9.4369,9.3753,10.0002,9.6022,0.2823,0.986,0.0028,0.9844,0.0031,0.9863,0.0028,0.9862,0.0028,0.9863,0.0028,21,info_gain,minkowski_p_3,inverse_distance
0.9872,0.9873,0.9836,0.9827,0.9845,0.9882,0.9909,0.9827,0.9854,0.9819,9.3774,9.4224,9.3686,9.4118,9.402,9.5083,9.4429,9.4067,9.4232,9.6814,9.4445,0.087,0.9854,0.0028,0.9838,0.0031,0.9858,0.0026,0.9856,0.0027,0.9858,0.0026,21,info_gain,minkowski_p_4,inverse_distance
0.9854,0.9864,0.9836,0.9818,0.98,0.9818,0.9891,0.9809,0.99,0.9819,3.2844,3.2753,3.2623,3.2709,3.2754,3.4255,3.3233,3.2425,3.2567,3.3411,3.2958,0.0517,0.9841,0.0033,0.9823,0.0037,0.9844,0.0032,0.9842,0.0033,0.9844,0.0032,26,info_gain,minkowski_p_1,inverse_distance
0.9863,0.9873,0.9827,0.9818,0.9845,0.9863,0.9909,0.9791,0.9863,0.9791,9.768,9.4134,9.4411,9.5227,9.4318,9.4916,10.2098,9.4778,9.4017,10.0182,9.6176,0.2706,0.9844,0.0036,0.9827,0.004,0.9848,0.0034,0.9846,0.0035,0.9848,0.0034,26,info_gain,minkowski_p_3,inverse_distance
0.9863,0.9854,0.9836,0.98,0.9818,0.9854,0.99,0.9809,0.9854,0.98,9.3254,9.4433,9.3828,9.4248,9.3196,9.5349,9.4442,9.4129,9.3893,9.6732,9.4351,0.0988,0.9839,0.0031,0.9821,0.0034,0.9843,0.003,0.9841,0.0031,0.9843,0.003,26,info_gain,minkowski_p_4,inverse_distance
0.9927,0.9891,0.9982,0.9918,0.9973,0.9982,0.9973,0.99,0.9964,0.9955,3.2144,3.2518,3.2349,3.1915,3.1914,3.1938,3.1874,3.1885,3.211,3.2897,3.2155,0.0322,0.9946,0.0033,0.994,0.0036,0.9947,0.0032,0.9947,0.0032,0.9947,0.0032,1,info_gain,minkowski_p_1,shepards
0.9918,0.9945,0.9954,0.9927,0.9964,0.9927,0.9955,0.9918,0.9954,0.9936,9.734,9.3778,9.3734,9.4002,9.387,9.4274,10.1551,9.4409,9.3504,9.9601,9.5606,0.2727,0.994,0.0016,0.9933,0.0018,0.9941,0.0015,0.994,0.0016,0.9941,0.0015,1,info_gain,minkowski_p_3,shepards
0.9927,0.9945,0.9954,0.9909,0.9936,0.9927,0.9946,0.9918,0.9954,0.9936,9.3806,9.3693,9.3397,9.3821,9.3358,9.4447,9.3931,9.288,9.3518,9.6151,9.39,0.0846,0.9935,0.0014,0.9928,0.0016,0.9937,0.0014,0.9936,0.0014,0.9937,0.0014,1,info_gain,minkowski_p_4,shepards
0.9836,0.9891,0.9872,0.9864,0.9854,0.9827,0.9882,0.9818,0.9827,0.9846,3.1954,3.2105,3.2365,3.216,3.2221,3.2332,3.137,3.2458,3.2137,3.3049,3.2215,0.0399,0.9852,0.0024,0.9835,0.0026,0.9855,0.0023,0.9853,0.0024,0.9855,0.0023,6,info_gain,minkowski_p_1,shepards
0.9909,0.99,0.99,0.9936,0.9918,0.9891,0.9936,0.9891,0.9909,0.9855,9.7224,9.3783,9.3494,9.3762,9.3898,9.4177,10.1544,9.4085,9.3549,9.9787,9.553,0.2793,0.9904,0.0023,0.9894,0.0025,0.9906,0.0023,0.9905,0.0022,0.9906,0.0023,6,info_gain,minkowski_p_3,shepards
0.9936,0.9873,0.9891,0.9918,0.9909,0.9872,0.9909,0.9882,0.99,0.9864,9.3414,9.3857,9.4669,9.475,9.3482,9.4626,9.371,9.3343,9.3554,9.6291,9.417,0.0878,0.9895,0.0022,0.9884,0.0024,0.9897,0.0021,0.9896,0.0021,0.9897,0.0021,6,info_gain,minkowski_p_4,shepards
