acc_fold_0,acc_fold_1,acc_fold_2,acc_fold_3,acc_fold_4,acc_fold_5,acc_fold_6,acc_fold_7,acc_fold_8,acc_fold_9,time_fold_0,time_fold_1,time_fold_2,time_fold_3,time_fold_4,time_fold_5,time_fold_6,time_fold_7,time_fold_8,time_fold_9,mean_exec_time,sd_exec_time,mean_accuracie,sd_accuracie,mean_kappa,sd_kappa,mean_balanced_accuracie,sd_balanced_accuracie,mean_macro_precision,sd_macro_precision,mean_macro_recall,sd_macro_recall,n_neighbors,weights,metric,voting
0.7909,0.8,0.7833,0.7775,0.788,0.7882,0.7846,0.7885,0.7927,0.7844,491.3305,480.2574,485.0476,480.4957,480.3505,496.9705,499.4093,497.1605,479.6872,493.725,488.4434,7.675,0.7878,0.0058,0.4264,0.0137,0.715,0.0073,0.7115,0.0068,0.715,0.0073,1,relief,euclidean,inverse_distance
0.8138,0.8109,0.8039,0.8153,0.8149,0.8139,0.809,0.8111,0.8161,0.8097,491.0197,480.3131,485.0142,480.453,480.244,496.913,499.5034,497.2768,479.6698,493.5047,488.3912,7.6826,0.8119,0.0035,0.4811,0.0103,0.7483,0.0051,0.734,0.0072,0.7483,0.0051,3,relief,euclidean,inverse_distance
0.8202,0.8215,0.8132,0.8235,0.8227,0.8218,0.8154,0.8186,0.8194,0.8079,490.7448,480.0525,484.8151,480.2052,480.0576,496.8418,499.1751,497.1412,479.5651,493.5227,488.2121,7.6974,0.8184,0.0046,0.4946,0.012,0.7588,0.0073,0.7385,0.01,0.7588,0.0073,5,relief,euclidean,inverse_distance
0.824,0.8261,0.8205,0.8283,0.8342,0.8253,0.8187,0.8211,0.8208,0.8175,490.8055,480.1226,484.9756,480.3047,480.2093,496.9608,499.1638,497.1076,479.4745,493.5505,488.2675,7.6788,0.8236,0.0048,0.5073,0.0178,0.767,0.0086,0.7439,0.0143,0.767,0.0086,7,relief,euclidean,inverse_distance
0.8306,0.8285,0.8349,0.8332,0.8333,0.8295,0.8273,0.8259,0.8294,0.8217,490.8452,480.1964,484.8646,480.248,480.1479,496.8265,499.2236,497.149,479.5137,493.5401,488.2555,7.6825,0.8294,0.0037,0.5209,0.0173,0.7761,0.0072,0.7491,0.0149,0.7761,0.0072,15,relief,euclidean,inverse_distance
0.8299,0.8272,0.8278,0.831,0.8362,0.8306,0.83,0.8275,0.8325,0.8224,490.8843,480.3623,484.9434,480.408,480.1752,496.93,499.711,497.2606,479.8711,493.8121,488.4358,7.7167,0.8295,0.0035,0.518,0.0134,0.7776,0.0091,0.7461,0.0138,0.7776,0.0091,25,relief,euclidean,inverse_distance
0.8301,0.8292,0.8285,0.8354,0.8353,0.8295,0.8236,0.8297,0.8245,0.8224,491.1502,480.5258,485.239,480.7803,480.6428,497.2322,499.6056,497.3187,479.737,493.772,488.6004,7.6447,0.8288,0.0042,0.5164,0.019,0.7764,0.0089,0.7457,0.0165,0.7764,0.0089,50,relief,euclidean,inverse_distance
0.7909,0.8,0.7833,0.7775,0.788,0.7882,0.7846,0.7885,0.7927,0.7844,491.4072,480.4569,485.1297,480.575,480.3795,497.0305,499.4825,497.3753,479.8184,493.8765,488.5531,7.6789,0.7878,0.0058,0.4264,0.0137,0.715,0.0073,0.7115,0.0068,0.715,0.0073,1,relief,euclidean,shepards
0.7889,0.7879,0.766,0.8098,0.81,0.8128,0.8003,0.8034,0.8095,0.7837,491.0574,480.4334,485.0737,480.7037,480.3931,496.9661,499.471,497.2363,479.6523,493.8094,488.4796,7.6465,0.7972,0.0144,0.4494,0.0148,0.734,0.0155,0.7224,0.0209,0.734,0.0155,3,relief,euclidean,shepards
0.8074,0.8018,0.7868,0.8146,0.8144,0.8244,0.8085,0.8073,0.8185,0.7935,491.089,480.3921,485.1065,480.4964,480.3623,497.0527,499.4712,497.2909,479.7099,493.8141,488.4785,7.6846,0.8077,0.0108,0.4681,0.019,0.7487,0.0153,0.7278,0.0244,0.7487,0.0153,5,relief,euclidean,shepards
0.8131,0.8034,0.8021,0.8228,0.8276,0.8225,0.8107,0.8107,0.8161,0.7955,491.1091,480.3582,485.1199,480.434,480.2967,497.068,499.4856,497.279,479.7237,493.7107,488.4585,7.6954,0.8124,0.0097,0.4782,0.0227,0.756,0.0167,0.7317,0.027,0.756,0.0167,7,relief,euclidean,shepards
0.8154,0.804,0.801,0.8204,0.8309,0.8236,0.8118,0.8109,0.8181,0.7984,491.1016,480.3929,485.1715,480.525,480.4178,497.1124,499.4759,497.3474,479.8628,493.8845,488.5292,7.6746,0.8134,0.0098,0.4793,0.0263,0.7588,0.0179,0.7319,0.0303,0.7588,0.0179,15,relief,euclidean,shepards
0.8173,0.8056,0.801,0.8215,0.828,0.8264,0.8165,0.8084,0.8269,0.7948,491.1313,480.4438,485.1801,480.5252,480.4701,497.2328,499.5906,497.4045,479.7612,493.8132,488.5553,7.7074,0.8147,0.0111,0.4818,0.0265,0.7615,0.0202,0.7326,0.0302,0.7615,0.0202,25,relief,euclidean,shepards
0.8149,0.8025,0.8041,0.8186,0.8316,0.822,0.8118,0.8087,0.8238,0.7973,491.1436,480.4816,485.1925,480.6141,480.4751,497.2884,499.5531,497.5403,479.8677,493.8472,488.6003,7.7003,0.8135,0.0102,0.4782,0.0293,0.7599,0.0198,0.731,0.0323,0.7599,0.0198,50,relief,euclidean,shepards
